candidate_id,title,year,venue,category,type,problem,benchmark,metrics,limitation,relevance_to_candidate,relevance_score,url,authors,source_type,verified_status,verification_note
"C2","tau-bench: A Benchmark for Tool-Agent-User Interaction in Real-World Domains","2025","ICLR","tool-agent-user interaction","benchmark","Real customer-service agents must use APIs, converse, and follow domain policies consistently.","tau-bench","pass^k; database-state success","Original tasks were later revised; policy coverage still limited to synthetic domains.","Policy-consistent tool agents under adversarial evidence","5","https://proceedings.iclr.cc/paper_files/paper/2025/file/1b126cc38b8638e07bef37e7b2bb72bf-Paper-Conference.pdf","Yao et al.","OpenReview","verified","ICLR PDF confirms tool-agent-user benchmark and pass^k reliability metric."
"C2","ACRFence: Preventing Semantic Rollback Attacks in Agent Checkpoint-Restore","2026","arXiv","agent state / tool safety","method / security","Checkpoint-restore can re-synthesize semantically different irreversible tool calls after rollback.","ACRFence proof of concept","duplicate irreversible action rate; replay-or-fork behavior","Very recent arXiv; requires claim-level verification before core use.","Policy-consistent tool agents under adversarial evidence","3","https://arxiv.org/html/2603.20625v1","ACRFence authors","arXiv","verified","arXiv HTML exposes semantic rollback attack and replay-or-fork mitigation."
"C3","Evaluating Very Long-Term Conversational Memory of LLM Agents","2024","ACL","long-term memory agent","benchmark","Agents need memory across very long multi-session conversations and temporal events.","LoCoMo","QA; event summarization; multimodal dialogue generation","Primarily evaluates retrieval/QA over generated conversations; less agentic write/update behavior.","Long-term memory conflict and provenance","5","https://aclanthology.org/2024.acl-long.747.pdf","Maharana et al.","ACL Anthology","verified","ACL PDF confirms LoCoMo long-term conversational memory benchmark."
"C3","LongMemEval: Benchmarking Chat Assistants on Long-Term Interactive Memory","2024","arXiv","long-term memory agent","benchmark / method","Chat assistants need extraction, multi-session reasoning, temporal reasoning, knowledge updates, and abstention.","LongMemEval","QA accuracy; retrieval; update handling","Chat-assistant framing; not focused on tool-using agent side effects.","Long-term memory conflict and provenance","5","https://arxiv.org/pdf/2410.10813","Wu et al.","arXiv","verified","arXiv PDF confirms 500 questions and five long-term memory abilities."
"C3","MemBench: Towards More Comprehensive Evaluation on the Memory of LLM-based Agents","2025","Findings of ACL","memory agent evaluation","benchmark","Existing memory evaluations lack diverse memory levels and interactive scenarios.","MemBench","effectiveness; efficiency; capacity; temporal metrics","New benchmark; paper cards needed later before treating as strongest threat.","Long-term memory conflict and provenance","4","https://aclanthology.org/2025.findings-acl.989.pdf","Tan et al.","ACL Anthology","verified","ACL PDF confirms factual/reflective memory and participation/observation scenarios."
"C3","Mem0: Building Production-Ready AI Agents with Scalable Long-Term Memory","2025","arXiv / ECAI","memory architecture","method / system","Production agents need scalable selective memory with low latency and token cost.","LoCoMo","LLM-as-judge; latency; token cost","Industry-led method paper; comparisons and benchmark setup require careful verification.","Long-term memory conflict and provenance","4","https://arxiv.org/abs/2504.19413","Mem0 authors","arXiv","verified","arXiv abstract confirms memory-centric architecture and LoCoMo evaluations."
"C3","Benchmarking AI Agent Memory: Is a Filesystem All You Need?","2025","Letta blog","memory benchmark critique","analysis","Memory benchmarks may over-measure retrieval rather than agentic memory management.","LoCoMo / Letta Memory Benchmark","LoCoMo score; dynamic memory capability","Blog, not paper; useful risk signal but not core threat work.","Long-term memory conflict and provenance","3","https://www.letta.com/blog/benchmarking-ai-agent-memory/","Letta team","official project page","verified","Official Letta blog critiques LoCoMo setup and argues for dynamic agentic memory eval."
"C3","AgentPoison: Red-teaming LLM Agents via Poisoning Memory or Knowledge Bases","2024","NeurIPS","memory poisoning","attack","Persistent memory and RAG stores can be poisoned with optimized triggers.","AgentPoison experiments","ASR; benign performance drop; poison ratio","Attack does not fully cover benign memory conflicts or provenance validity.","Long-term memory conflict and provenance","4","https://arxiv.org/pdf/2407.12784v1","Chen et al.","arXiv","verified","arXiv PDF confirms backdoor poisoning of long-term memory or knowledge bases."
"C4","AppWorld: A Controllable World of Apps and People for Benchmarking Interactive Coding Agents","2024","ACL","interactive coding agent","benchmark","Agents operating app APIs must complete tasks without unintended state changes.","AppWorld","task goal completion; collateral damage checks","Synthetic app world; may not cover real irreversible business effects.","Collateral-damage-aware app and coding agents","5","https://aclanthology.org/2024.acl-long.850/","Trivedi et al.","ACL Anthology","verified","ACL Anthology confirms Best Resource Paper and AppWorld details."
"C4","OSWorld: Benchmarking Multimodal Agents for Open-Ended Tasks in Real Computer Environments","2024","NeurIPS","desktop / computer-use agent","benchmark","Computer-use agents need GUI and OS-level operation over real apps.","OSWorld","execution-based task success","Primarily success/failure; collateral damage and recovery are secondary.","Collateral-damage-aware app and coding agents","4","https://os-world.github.io/","Xie et al.","official project page","verified","Official project page confirms 369 tasks and execution-based evaluation."
"C4","WebArena: A Realistic Web Environment for Building Autonomous Agents","2024","ICLR","web agent","benchmark","Web agents need long-horizon realistic web interactions in reproducible environments.","WebArena","end-to-end task success","Limited to self-hosted web domains; little explicit side-effect auditing.","Collateral-damage-aware app and coding agents","4","https://arxiv.org/abs/2307.13854v3","Zhou et al.","arXiv","verified","arXiv page confirms realistic self-hostable web benchmark."
"C4","VisualWebArena: Evaluating Multimodal Agents on Realistic Visually Grounded Web Tasks","2024","ACL","multimodal web agent","benchmark","Many web tasks require visual grounding beyond HTML/text processing.","VisualWebArena","task success on visually grounded web tasks","Visual grounding focus; not primarily policy or damage tracking.","Collateral-damage-aware app and coding agents","3","https://aclanthology.org/2024.acl-long.50/","Koh et al.","ACL Anthology","verified","ACL Anthology confirms ACL 2024 VisualWebArena paper."
"C4","TheAgentCompany: Benchmarking LLM Agents on Consequential Real World Tasks","2025","NeurIPS","real workplace agent","benchmark","Workplace agents must browse, code, run programs, and communicate in consequential environments.","TheAgentCompany","task completion; checkpoint / partial credit","Very broad benchmark; may be expensive to run for MVP.","Collateral-damage-aware app and coding agents","4","https://arxiv.org/pdf/2412.14161","TheAgentCompany authors","arXiv","verified","arXiv PDF confirms simulated software company and consequential tasks."
"C4","SWE-bench: Can Language Models Resolve Real-World GitHub Issues?","2024","ICLR","software engineering agent","benchmark","Coding agents need patch generation for real issues while preserving tests.","SWE-bench","% resolved via tests","Test pass can miss semantic collateral damage and hidden regressions.","Collateral-damage-aware app and coding agents","4","https://www.swebench.com/","Jimenez et al.","official project page","verified","Official leaderboard confirms benchmark splits and resolved metric."
"C5","MultiAgentBench: Evaluating the Collaboration and Competition of LLM agents","2025","ACL","multi-agent evaluation","benchmark","Multi-agent systems need evaluation of collaboration and competition, not only task completion.","MultiAgentBench / MARBLE","milestone KPIs; communication and planning scores","Coordination metrics exist but root-cause attribution remains immature.","Multi-agent failure attribution and protocol selection","5","https://aclanthology.org/2025.acl-long.421.pdf","Kun et al.","ACL Anthology","verified","ACL PDF confirms benchmark, MARBLE, and coordination protocols."
"C5","AgentVerse: Facilitating Multi-Agent Collaboration and Exploring Emergent Behaviors","2024","ICLR","multi-agent collaboration","framework / system","Collaborative groups of LLM agents can outperform single agents but exhibit emergent behaviors.","AgentVerse experiments","task performance; emergent behavior analysis","Framework paper; not primarily a failure attribution benchmark.","Multi-agent failure attribution and protocol selection","4","https://openreview.net/forum?id=EHg5GDnyq1","Chen et al.","OpenReview","verified","OpenReview page confirms ICLR 2024 AgentVerse paper."
"C5","MetaGPT: Meta Programming for A Multi-Agent Collaborative Framework","2024","ICLR","multi-agent software engineering","framework / system","Multi-agent coding workflows need SOPs to reduce cascading hallucinations and inconsistency.","HumanEval / MBPP / software tasks","pass@1; executability; coherence","SOP improvements may be too framework-specific for a general research claim.","Multi-agent failure attribution and protocol selection","4","https://openreview.net/forum?id=VtmBAGCN7o","Hong et al.","OpenReview","verified","OpenReview page confirms ICLR 2024 oral and SOP-based multi-agent framework."
"C5","ChatDev: Communicative Agents for Software Development","2024","ACL","multi-agent software development","framework / system","Communicative software agents simulate roles across development phases.","ChatDev benchmark / software tasks","completeness; executability; consistency; quality","Role-play framework; less rigorous for failure attribution.","Multi-agent failure attribution and protocol selection","3","https://aclanthology.org/2024.acl-long.810.pdf","Qian et al.","ACL Anthology","verified","ACL PDF confirms ChatDev paper and evaluation dimensions."
"C5","Code in Harmony: Evaluating Multi-Agent Frameworks","2025","OpenReview","multi-agent code evaluation","evaluation","Many multi-agent coding frameworks report incomplete or incomparable benchmarks.","HumanEval / MBPP","Elo rating; benchmark scores","Still uses classic code benchmarks; may not expose real coordination failures.","Multi-agent failure attribution and protocol selection","3","https://openreview.net/pdf?id=URUMBfrHFy","Code in Harmony authors","OpenReview","verified","OpenReview PDF discusses pairwise Elo evaluation of 14 multi-agent frameworks."
"C5","Why Do Multi-Agent LLM Systems Fail?","2025","arXiv","multi-agent failure taxonomy","taxonomy / evaluation","Multi-agent trace failures require structured taxonomy and scalable judging.","MAST","failure category accuracy; judge agreement","Taxonomy does not by itself prescribe protocol selection or repair.","Multi-agent failure attribution and protocol selection","5","https://arxiv.org/pdf/2503.13657v2","MAST authors","arXiv","verified","arXiv PDF confirms MAST taxonomy and LLM-as-judge pipeline."
"C5","Which Agent Causes Task Failures and When? On Automated Failure Attribution of LLM Multi-Agent Systems","2025","ICML","multi-agent failure attribution","benchmark / method","Debugging multi-agent systems requires attributing failure to agent and step.","Who&When","agent attribution accuracy; step attribution accuracy","Step attribution remains very hard; methods below practical threshold.","Multi-agent failure attribution and protocol selection","5","https://icml.cc/virtual/2025/poster/45823","Mingyin et al.","official project page","verified","ICML poster confirms Who&When dataset and poor step attribution results."
