title,year,venue,category,type,problem,benchmark,metrics,limitation,relevance_to_state_contamination,relevance_score,url,authors,verified_status,verification_note,core_read
MemoryAgentBench: Evaluating Memory in LLM Agents via Incremental Multi-Turn Interactions,2026,ICLR,Memory / long-horizon agent,Benchmark,memory agent 四能力（检索/测试时学习/长程理解/选择性遗忘）缺乏统一 benchmark,MemoryAgentBench（2071 题，multi-turn 增量格式）,四能力分项 accuracy,未覆盖 tool side-effect 与 rollback,明确提出 selective forgetting 与 incremental state accumulation，与污染/恢复直接相关,8,https://arxiv.org/abs/2507.05257,"Yuanzhe Hu, Yu Wang, Julian McAuley",verified,arXiv 2507.05257 + ICLR 2026 OpenReview DT7JyQC3MR + HuggingFace Kakezh/MemoryAgentBench,yes
State Contamination in Memory-Augmented LLM Agents,2026,arXiv,Memory / long-horizon agent,Problem+Method,记忆写回前未 sanitize 会导致 toxic framing 被压缩进 persistent memory（laundering）,Multi-session memory-augmented agent 仿真,SPG / Δμ / P95_tox / downstream toxicity,聚焦 memory safety 而非 general tool state；未覆盖 SWE/web executable state,直接定义并度量 state contamination；指出 post-hoc 清洗太晚,10,https://arxiv.org/abs/2605.16746,"Yian Wang, Agam Goyal, Yuen Chen, Hari Sundaram",verified,arXiv 2605.16746 摘要与作者 UIUC 页面可核对；术语 state contamination 与 memory laundering 直接命中课题,yes
AgentDebug: Where LLM Agents Fail and How They Can Learn From Failures,2025,arXiv,Agent failure analysis / evaluation,Benchmark+Method,memory/reflection/planning 早期错误会 cascade，缺乏 modular failure taxonomy 与 recovery,AgentErrorBench（ALFWorld / GAIA / WebShop 失败轨迹）,All-correct accuracy / step accuracy / task success improvement（+26% relative）,Recovery 依赖 corrective feedback 而非显式 state rollback；taxonomy 未单独定义 contamination,系统分析 error propagation，memory 错误是最常见 cascade 源,8,https://arxiv.org/abs/2509.25370,"Kunlun Zhu, Zijia Liu, Bingxuan Li, Muxin Tian, Yingxuan Yang, Jiaxun Zhang, et al.",verified,arXiv 2509.25370 + GitHub ulab-uiuc/AgentDebug；ICLR 2026 投稿已 withdrawn，venue 以 arXiv 为准,yes
TRAIL: Trace Reasoning and Agentic Issue Localization,2025,arXiv,Agent failure analysis / evaluation,Benchmark+Taxonomy,agent trace 缺乏细粒度错误分类与 step-level 诊断,TRAIL（148 traces，GAIA + SWE-Bench Lite，841 errors）,Joint localization accuracy（Gemini 2.5-pro GAIA 18% / SWE 5%）,评 judge 能否定位错误，不评 clean restart 或 contamination 量化,为长链路 trace 提供 failure taxonomy，是诊断污染根因的基础设施,7,https://arxiv.org/abs/2505.08638,"Darshan Deshpande, Varun Gangal, Hersh Mehta, Jitin Krishnan, Anand Kannappan, Rebecca Qian",verified,arXiv 2505.08638 + HuggingFace PatronusAI/TRAIL；Patronus AI 官方发布,no
Which Agent Causes Task Failures and When?,2025,ICML,Agent failure analysis / evaluation,Benchmark,多 agent 系统失败后难以自动归因到 agent 与 decisive step,Who&When（127 MAS，184 annotated failures）,Agent ID accuracy 53.5% / step accuracy 14.2%,聚焦 multi-agent attribution，非 single-agent state 管理,帮助定位污染传播链上的责任 agent/step，但不解决 recovery blind spot,6,https://proceedings.mlr.press/v267/zhang25cq.html,"Shaokun Zhang, Ming Yin, Jieyu Zhang, Jiale Liu, Zhiguang Han, Jingyang Zhang, Beibin Li, Chi Wang, Huazheng Wang, Yiran Chen, Qingyun Wu",verified,ICML 2025 spotlight + PMLR v267 + GitHub ag2ai/Agents_Failure_Attribution,no
AgentRx: Diagnosing AI Agent Failures from Execution Trajectories,2026,arXiv,Agent failure analysis / evaluation,Benchmark+Method,probabilistic 长链路 agent 失败难以 localize critical step,AgentRx（115 failed trajectories，API/incident/web 三域）,Step localization / failure category attribution,诊断框架，不提供 rollback 或 clean-state retry 协议,约束违反日志可定位 critical failure step，为 recovery 触发提供信号,6,https://arxiv.org/abs/2602.02475,"Shraddha Barke, Arnav Goyal, Alind Khare, Avaljot Singh, Suman Nath, Chetan Bansal",verified,arXiv 2602.02475 + Microsoft Research 页面 + GitHub microsoft/AgentRx；原表 ICML 2026 未获官方接受确认，venue 修正为 arXiv,no
GA-Rollback: Generator-Assistant Stepwise Rollback Framework for LLM Agent,2025,EMNLP,Recovery / rollback / state management,Method,ReAct 式 one-pass 推理会把错误 intermediate thought 永久写入 trajectory,AlfWorld / WebShop / HotpotQA,Task success rate vs strong baselines,Rollback 依赖 assistant 判错；未处理 irreversible tool side-effect,直接针对 trajectory 中错误 state 的 stepwise rollback，是 recovery 代表方法,9,https://aclanthology.org/2025.emnlp-main.892/,"Xingzuo Li, Kehai Chen, Yunfei Long, Xuefeng Bai, Yong Xu, Min Zhang",verified,EMNLP 2025 main 892 + arXiv 2503.02519 + GitHub 12933/GA-Rollback,yes
Why Retrying Fails: Context Contamination in LLM Agent Pipelines,2026,arXiv,Recovery / rollback / state management,Theory+Empirical,failed attempt 留在 context 会使 retry 错误率从 ε0 升到 ε1（CCRM）,SWE-bench Verified retry 数据 + Monte Carlo,pass@K / cascade ratio ε1/ε0=7.1 / clean-restart dominance,理论模型假设 step IID；未给出完整 agent 系统 mitigation,直接形式化 context contamination 与 clean-restart 优势，与课题高度同构,10,https://arxiv.org/abs/2605.08563,Zhanfu Yang,verified,arXiv 2605.08563 单作者论文；CCRM 与 SWE-bench Verified 拟合数据可在摘要核对,yes
ACRFence: Preventing Semantic Rollback Attacks in Agent Checkpoint-Restore,2026,arXiv,Recovery / rollback / state management,Method,checkpoint-restore 后 LLM re-synthesize 不同 tool request → duplicate side-effect,Agent CR PoC + irreversible tool APIs,Attack success rate / mitigation containment,聚焦 security/irreversible API，非一般 reasoning error recovery,揭示 recovery blind spot：rollback 本地状态 ≠ undo 外部 world state,9,https://arxiv.org/abs/2603.20625,"Yusheng Zheng, Yiwei Yang, Wei Zhang, Andi Quinn",verified,arXiv 2603.20625 + 作者 eunomia.dev blog 2026-05-21,yes
Hell or High Water: Evaluating Agentic Recovery from External Failures,2025,COLM,Recovery / rollback / state management,Benchmark,外部 tool 不可用时代 agent 能否找 backup plan,Hell-or-High-Water（830 questions，4450 functions）,Task success under failure injection（SOTA ~45% restricted search）,测 external failure recovery 而非 self-caused state contamination,互补视角：recovery 能力在 tool 故障下普遍弱，说明 recovery blind spot 广泛存在,7,https://arxiv.org/abs/2508.11027,"Andrew Wang, Sophia Hager, Adi Asija, Daniel Khashabi, Nicholas Andrews",verified,arXiv 2508.11027 + COLM 2025 OpenReview Zk224WPT42 + GitHub JHU-CLSP/hell-or-high-water,yes
